Date,Calgary,Central,Edmonton,NorthEast,NorthWest,South,,,,,,
1/14/2019 11:00:00 PM,733,0,0,0,0,0,,,,,,
1/15/2019 12:00:00 AM,733,0,0,0,0,0,,,,,,
1/15/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/15/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/15/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/15/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/15/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/15/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/15/2019 7:00:00 AM,725,0,0,0,0,0,,,,,,
1/15/2019 8:00:00 AM,725,0,0,0,0,0,,,,,,
1/15/2019 9:00:00 AM,725,0,0,0,0,0,,,,,,
1/15/2019 10:00:00 AM,725,0,0,0,0,0,,,,,,
1/15/2019 11:00:00 AM,731,0,0,0,0,0,,,,,,
1/15/2019 12:00:00 PM,731,0,0,0,0,0,,,,,,
1/15/2019 1:00:00 PM,727,0,0,0,0,0,,,,,,
1/15/2019 2:00:00 PM,727,0,0,0,0,0,,,,,,
1/15/2019 3:00:00 PM,727,0,0,0,0,0,,,,,,
1/15/2019 4:00:00 PM,727,0,0,0,0,0,,,,,,
1/15/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/15/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/15/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/15/2019 8:00:00 PM,725,0,0,0,0,0,,,,,,
1/15/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/15/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
1/15/2019 11:00:00 PM,733,0,0,0,0,0,,,,,,
1/16/2019 12:00:00 AM,733,0,0,0,0,0,,,,,,
1/16/2019 1:00:00 AM,733,0,0,0,0,0,,,,,,
1/16/2019 2:00:00 AM,733,0,0,0,0,0,,,,,,
1/16/2019 3:00:00 AM,733,0,0,0,0,0,,,,,,
1/16/2019 4:00:00 AM,733,0,0,0,0,0,,,,,,
1/16/2019 5:00:00 AM,733,0,0,0,0,0,,,,,,
1/16/2019 6:00:00 AM,733,0,0,0,0,0,,,,,,
1/16/2019 7:00:00 AM,721,0,0,0,0,0,,,,,,
1/16/2019 8:00:00 AM,709,0,0,0,0,0,,,,,,
1/16/2019 9:00:00 AM,713,0,0,0,0,0,,,,,,
1/16/2019 10:00:00 AM,713,0,0,0,0,0,,,,,,
1/16/2019 11:00:00 AM,659,0,0,0,0,0,,,,,,
1/16/2019 12:00:00 PM,659,0,0,0,0,0,,,,,,
1/16/2019 1:00:00 PM,655,0,0,0,0,0,,,,,,
1/16/2019 2:00:00 PM,655,0,0,0,0,0,,,,,,
1/16/2019 3:00:00 PM,715,0,0,0,0,0,,,,,,
1/16/2019 4:00:00 PM,715,0,0,0,0,0,,,,,,
1/16/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/16/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/16/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/16/2019 8:00:00 PM,725,0,0,0,0,0,,,,,,
1/16/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/16/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
1/16/2019 11:00:00 PM,733,0,0,0,0,0,,,,,,
1/17/2019 12:00:00 AM,737,0,0,0,0,0,,,,,,
1/17/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/17/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/17/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/17/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/17/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/17/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/17/2019 7:00:00 AM,724,0,0,0,0,0,,,,,,
1/17/2019 8:00:00 AM,724,0,0,0,0,0,,,,,,
1/17/2019 9:00:00 AM,664,0,0,0,0,0,,,,,,
1/17/2019 10:00:00 AM,670,0,0,0,0,0,,,,,,
1/17/2019 11:00:00 AM,670,0,0,0,0,0,,,,,,
1/17/2019 12:00:00 PM,670,0,0,0,0,0,,,,,,
1/17/2019 1:00:00 PM,730,0,0,0,0,0,,,,,,
1/17/2019 2:00:00 PM,730,0,0,0,0,0,,,,,,
1/17/2019 3:00:00 PM,730,0,0,0,0,0,,,,,,
1/17/2019 4:00:00 PM,730,0,0,0,0,0,,,,,,
1/17/2019 5:00:00 PM,730,0,0,0,0,0,,,,,,
1/17/2019 6:00:00 PM,730,0,0,0,0,0,,,,,,
1/17/2019 7:00:00 PM,730,0,0,0,0,0,,,,,,
1/17/2019 8:00:00 PM,724,0,0,0,0,0,,,,,,
1/17/2019 9:00:00 PM,724,0,0,0,0,0,,,,,,
