Date,Calgary,Central,Edmonton,Northeast,Northwest,South
5/17/2019 3:00:00 AM,860.7504989,1172.457009,1203.26101,844.2089958,795.6080271,809.3801572
5/17/2019 4:00:00 AM,931.4450267,1175.329666,1234.116623,841.3678833,762.2157293,824.6529952
5/17/2019 5:00:00 AM,1054.636493,1180.615473,1311.672206,835.7912534,753.8572524,849.53627
5/17/2019 10:00:00 PM,981.3772646,1228.426652,1344.06677,891.7023145,869.9659724,849.700471
5/17/2019 11:00:00 PM,923.2085888,1202.151014,1264.557058,863.2199612,849.6623469,822.6918984
5/18/2019 12:00:00 AM,879.0783222,1197.853402,1212.721769,850.4556771,846.8501546,808.5660545
5/18/2019 1:00:00 AM,854.4311568,1185.386379,1181.808635,859.2001749,843.2015104,802.7451625
5/18/2019 2:00:00 AM,844.5165301,1153.228519,1172.775478,872.0718382,841.4679691,799.0398884
5/18/2019 3:00:00 AM,846.528265,1164.830642,1173.807152,847.9746254,842.1563479,797.0150802
5/18/2019 4:00:00 AM,864.320599,1173.835141,1157.831487,842.010307,836.9229858,804.5207832
5/18/2019 5:00:00 AM,893.0473299,1176.236317,1177.412414,846.4454834,830.3467375,810.9054223
5/18/2019 10:00:00 PM,961.0802488,1215.7717,1304.892233,835.1116064,802.1315306,808.7245637
5/18/2019 11:00:00 PM,901.9112233,1188.26961,1250.266094,835.1379592,843.8743602,782.3869652
5/19/2019 12:00:00 AM,861.8735202,1168.139409,1201.130697,848.0147671,848.4855428,772.3665823
5/19/2019 1:00:00 AM,837.2738791,1158.997879,1166.257701,883.9370727,861.8710095,765.4948919
5/19/2019 2:00:00 AM,827.4336015,1160.133413,1169.850983,894.983032,875.676246,764.1603915
5/19/2019 3:00:00 AM,827.3313132,1153.724398,1142.752366,826.4811481,883.3843385,766.8056737
5/19/2019 4:00:00 AM,836.031398,1111.440621,1109.575533,817.0845804,877.7889099,764.4283089
5/19/2019 5:00:00 AM,847.6765774,1110.754394,1091.018524,793.291385,869.5462444,765.0480746
5/19/2019 10:00:00 PM,940.350023,1190.244224,1332.783005,885.7545172,863.3481746,806.5781511
5/19/2019 11:00:00 PM,881.7994138,1154.35124,1246.041429,893.9199273,854.5949332,787.170203
5/20/2019 12:00:00 AM,842.2243884,1154.37023,1225.221318,892.2791831,853.4684909,782.5965777
5/20/2019 1:00:00 AM,821.2353403,1150.950021,1202.593739,907.2449063,857.63989,776.0554755
5/20/2019 2:00:00 AM,816.2081487,1138.41271,1168.540177,918.0370693,854.640571,777.4130993
5/20/2019 3:00:00 AM,824.3363693,1133.672066,1157.740437,909.080534,837.0043436,778.9783591
5/20/2019 4:00:00 AM,847.4258502,1124.339206,1148.457413,874.4949378,828.1406353,779.2799443
5/20/2019 5:00:00 AM,872.35238,1123.365266,1155.224528,866.5173787,817.5035721,781.0516203
5/20/2019 10:00:00 PM,933.2555408,1191.72307,1312.919394,870.1807136,847.730093,807.0355912
5/20/2019 11:00:00 PM,864.651225,1159.534328,1215.082787,845.5006088,834.5340127,781.7135541
5/21/2019 12:00:00 AM,826.989458,1135.931222,1167.631948,839.6614887,840.2149457,764.0625021
5/21/2019 1:00:00 AM,811.4015518,1123.210489,1149.448997,843.8374922,840.3399878,757.0093161
5/21/2019 2:00:00 AM,810.1238013,1117.776097,1146.826262,828.1879821,839.2894174,756.1098832
5/21/2019 3:00:00 AM,830.8644927,1131.371413,1182.480972,810.8977888,840.1539802,763.4400279
5/21/2019 4:00:00 AM,907.5208116,1139.002195,1205.343288,785.4749001,820.2386279,792.8667552
5/21/2019 5:00:00 AM,1049.795221,1178.31939,1312.564278,792.5280553,819.598812,832.6248608
5/21/2019 10:00:00 PM,973.9698872,1169.012397,1314.227608,814.6129768,878.9597229,854.4882271
